daysSince_1-1-year_hadcm3,year_hadcm3,TSI,,,,
216030,2951,1365.84,,,,
216390,2952,1365.84,,,,
216750,2953,1365.84,,,,
217110,2954,1365.84,,,,
217470,2955,1365.84,,,,
217830,2956,1365.84,,,,
218190,2957,1365.84,,,,
218550,2958,1365.84,,,,
218910,2959,1365.84,,,,
219270,2960,1365.84,,,,
219630,2961,1365.84,,,,
219990,2962,1365.84,,,,
220350,2963,1365.84,,,,
220710,2964,1365.84,,,,
221070,2965,1365.84,,,,
221430,2966,1365.84,,,,
221790,2967,1365.84,,,,
222150,2968,1365.84,,,,
222510,2969,1365.84,,,,
222870,2970,1365.84,,,,
223230,2971,1365.84,,,,
223590,2972,1365.84,,,,
223950,2973,1365.84,,,,
224310,2974,1365.84,,,,
224670,2975,1365.84,,,,
225030,2976,1365.84,,,,
225390,2977,1365.84,,,,"
"
225750,2978,1365.84,,,,
226110,2979,1365.84,,,,
226470,2980,1365.84,,,,
226830,2981,1365.84,,,,
227190,2982,1365.84,,,,
227550,2983,1365.84,,,,
227910,2984,1365.84,,,,
228270,2985,1365.84,,,,
228630,2986,1365.84,,,,
228990,2987,1365.84,,,,
229350,2988,1365.84,,,,
229710,2989,1365.84,,,,
230070,2990,1365.84,,,,
230430,2991,1365.84,,,,
230790,2992,1365.84,,,,
231150,2993,1365.84,,,,
231510,2994,1365.84,,,,
231870,2995,1365.84,,,,
232230,2996,1365.84,,,,
232590,2997,1365.84,,,,
232950,2998,1365.84,,,,
233310,2999,1365.84,,,,
233670,3000,1365.84,,,,
234030,3001,1365.84,,,,
234390,3002,1365.72,,,,
234750,3003,1365.63,,,,
235110,3004,1365.57,,,,
235470,3005,1365.55,,,,
235830,3006,1365.77,,,,
236190,3007,1366.03,,,,
236550,3008,1366.18,,,,
236910,3009,1366.33,,,,
237270,3010,1366.23,,,,
237630,3011,1366.1,,,,
237990,3012,1366.01,,,,
238350,3013,1365.84,,,,
238710,3014,1365.73,,,,
239070,3015,1365.62,,,,
239430,3016,1365.65,,,,
239790,3017,1365.87,,,,
240150,3018,1366.16,,,,
240510,3019,1366.31,,,,
240870,3020,1366.46,,,,
241230,3021,1366.33,,,,
241590,3022,1366.15,,,,
241950,3023,1366.03,,,,
242310,3024,1365.81,,,,
242670,3025,1365.65,,,,
243030,3026,1365.53,,,,
243390,3027,1365.66,,,,
243750,3028,1365.81,,,,
244110,3029,1365.99,,,,
244470,3030,1366.08,,,,
244830,3031,1366.17,,,,
245190,3032,1366.05,,,,
245550,3033,1365.9,,,,
245910,3034,1365.77,,,,
246270,3035,1365.6,,,,
246630,3036,1365.45,,,,
246990,3037,1365.33,,,,
247350,3038,1365.51,,,,
247710,3039,1365.55,,,,
248070,3040,1365.6,,,,
248430,3041,1365.63,,,,
248790,3042,1365.65,,,,
249150,3043,1365.58,,,,
249510,3044,1365.51,,,,
249870,3045,1365.46,,,,
250230,3046,1365.38,,,,
250590,3047,1365.33,,,,
250950,3048,1365.27,,,,
251310,3049,1365.34,,,,
251670,3050,1365.39,,,,
252030,3051,1365.44,,,,
252390,3052,1365.47,,,,
252750,3053,1365.5,,,,
253110,3054,1365.5,,,,
253470,3055,1365.49,,,,
253830,3056,1365.48,,,,
254190,3057,1365.46,,,,
254550,3058,1365.45,,,,
254910,3059,1365.45,,,,
255270,3060,1365.38,,,,
255630,3061,1365.51,,,,
255990,3062,1365.68,,,,
256350,3063,1365.78,,,,
256710,3064,1365.89,,,,
257070,3065,1365.84,,,,
257430,3066,1365.79,,,,
257790,3067,1365.75,,,,
258150,3068,1365.68,,,,
258510,3069,1365.62,,,,
258870,3070,1365.59,,,,
259230,3071,1365.52,,,,
259590,3072,1365.74,,,,
259950,3073,1366.01,,,,
260310,3074,1366.15,,,,
260670,3075,1366.32,,,,
261030,3076,1366.22,,,,
261390,3077,1366.1,,,,
261750,3078,1366.01,,,,
262110,3079,1365.85,,,,
262470,3080,1365.73,,,,
262830,3081,1365.65,,,,
263190,3082,1365.65,,,,
263550,3083,1365.9,,,,
263910,3084,1366.19,,,,
264270,3085,1366.34,,,,
264630,3086,1366.53,,,,
264990,3087,1366.38,,,,
265350,3088,1366.21,,,,
265710,3089,1366.08,,,,
266070,3090,1365.88,,,,
266430,3091,1365.72,,,,
266790,3092,1365.59,,,,
267150,3093,1365.67,,,,
267510,3094,1365.9,,,,
267870,3095,1366.19,,,,
268230,3096,1366.33,,,,
268590,3097,1366.49,,,,
268950,3098,1366.36,,,,
269310,3099,1366.19,,,,
269670,3100,1366.06,,,,
270030,3101,1365.87,,,,
270390,3102,1365.73,,,,
